District,Average Evapotranspiration,Year,Month,Total Evaporation
23,2.45,2022,5,75.95
23,3.21,2022,6,96.3
23,3.21,2022,7,99.51
23,3.74,2022,8,115.94
23,4.0,2022,9,120.0
23,3.68,2022,10,114.08
23,1.45,2022,11,43.5
23,1.14,2022,12,35.34
23,0.7,2023,1,21.7
23,0.33,2023,2,9.24
23,1.35,2023,3,41.85
23,1.41,2023,4,42.3
23,2.46,2023,5,76.26
23,2.55,2023,6,76.5
23,3.66,2023,7,113.46
23,3.47,2023,8,107.57
23,4.03,2023,9,120.9
23,2.28,2023,10,70.68
23,0.97,2023,11,29.1
23,1.85,2023,12,57.35
23,0.71,2024,1,22.01
23,0.46,2024,2,13.34
23,0.3,2024,3,9.3
23,0.7,2024,4,21.0
23,2.09,2024,5,64.79
23,3.36,2024,6,100.8
23,3.27,2024,7,101.37
23,3.92,2024,8,121.52
23,4.36,2024,9,130.8
23,4.29,2024,10,132.99
24,3.4,2018,7,105.4
24,3.26,2018,8,101.06
24,3.08,2018,9,92.4
24,2.19,2018,10,67.89
24,1.25,2018,11,37.5
24,1.11,2018,12,34.41
24,1.73,2019,1,53.63
24,2.18,2019,2,61.04
24,1.32,2019,3,40.92
24,1.59,2019,4,47.7
24,2.38,2019,5,73.78
24,2.82,2019,6,84.6
24,3.02,2019,7,93.62
24,3.47,2019,8,107.57
24,2.91,2019,9,87.3
24,2.42,2019,10,75.02
24,1.85,2019,11,55.5
24,1.27,2019,12,39.37
24,0.94,2020,1,29.14
24,0.75,2020,2,21.75
24,1.25,2020,3,38.75
24,2.4,2020,4,72.0
24,3.1,2020,5,96.1
24,3.65,2020,6,109.5
24,3.61,2020,7,111.91
24,3.53,2020,8,109.43
24,3.25,2020,9,97.5
24,3.91,2020,10,121.21
24,1.99,2020,11,59.7
24,0.8,2020,12,24.8
24,0.72,2021,1,22.32
24,0.34,2021,2,9.52
24,0.45,2021,3,13.95
24,1.16,2021,4,34.8
24,2.1,2021,5,65.1
24,2.63,2021,6,78.9
24,3.64,2021,7,112.84
24,4.12,2021,8,127.72
24,4.28,2021,9,128.4
24,3.92,2021,10,121.52
24,1.66,2021,12,51.46
24,0.97,2022,1,30.07
24,0.79,2022,2,22.12
24,0.69,2022,3,21.39
24,0.59,2022,4,17.7
24,2.31,2022,5,71.61
24,2.84,2022,6,85.2
24,3.62,2022,7,112.22
24,4.13,2022,8,128.03
